state,county,city,year,date,hour,minute,deaths,lat,lng
TEXAS,DALLAS,DALLAS,2016,2016-10-27,19,57,1,32.91903333,-96.76565278
TEXAS,DALLAS,DALLAS,2017,2017-12-22,6,52,1,32.77851667,-96.91373056
TEXAS,TARRANT,FORT WORTH,2018,2018-3-17,20,45,1,32.72315556,-97.2623
TEXAS,DALLAS,DALLAS,2016,2016-10-16,3,9,1,32.73945833,-96.91940833
TEXAS,DALLAS,DALLAS,2016,2016-4-24,8,50,1,32.67147778,-96.78315278
TEXAS,DALLAS,DALLAS,2016,2016-12-23,23,56,1,32.86570833,-96.89049444
TEXAS,DALLAS,DALLAS,2017,2017-9-10,20,17,1,32.71559444,-96.75538611
TEXAS,DALLAS,DALLAS,2015,2015-6-16,5,40,1,32.86490556,-96.86238889
TEXAS,TARRANT,FORT WORTH,2018,2018-11-17,20,25,1,32.68786667,-97.2405
TEXAS,DALLAS,DALLAS,2016,2016-11-23,0,25,1,32.7994,-96.78572778
TEXAS,DALLAS,DALLAS,2018,2018-4-12,8,40,1,32.77094722,-96.7886
TEXAS,DALLAS,DALLAS,2018,2018-6-9,23,9,1,32.68709167,-96.8233
TEXAS,DALLAS,DALLAS,2018,2018-4-1,5,40,1,32.70895833,-96.9065
TEXAS,TARRANT,FORT WORTH,2012,2012-6-19,7,47,1,32.73283889,-97.22496111
TEXAS,DALLAS,DALLAS,2017,2017-1-14,2,22,1,32.8998,-96.81125
TEXAS,TARRANT,FORT WORTH,2016,2016-7-15,3,9,1,32.77061944,-97.47569722
TEXAS,DALLAS,DALLAS,2018,2018-3-26,5,30,1,32.79127778,-96.7462
TEXAS,DALLAS,DALLAS,2014,2014-2-15,18,35,1,32.87026667,-96.91816667
TEXAS,DALLAS,DALLAS,2018,2018-1-13,23,42,1,32.68715833,-96.8233
TEXAS,DALLAS,DALLAS,2014,2014-4-18,22,48,1,32.82545,-96.78388333
TEXAS,DALLAS,DALLAS,2017,2017-4-23,6,45,1,32.64289722,-96.83951389
TEXAS,DALLAS,DALLAS,2016,2016-2-25,0,12,1,32.79452778,-96.69986667
TEXAS,TARRANT,FORT WORTH,2016,2016-8-18,6,29,1,32.7329,-97.37285
TEXAS,TARRANT,FORT WORTH,2013,2013-12-18,2,20,1,32.64548333,-97.36976944
TEXAS,DALLAS,DALLAS,2014,2014-7-12,22,3,1,32.76120278,-96.77757778
TEXAS,TARRANT,FORT WORTH,2016,2016-5-10,20,48,1,32.74615556,-97.317675
TEXAS,DALLAS,DALLAS,2018,2018-11-28,18,13,1,32.64126667,-96.8212
TEXAS,DALLAS,DALLAS,2016,2016-3-6,22,35,1,32.69976667,-96.83997222
TEXAS,DALLAS,DALLAS,2012,2012-1-26,16,13,1,32.67151944,-96.78306111
TEXAS,DALLAS,DALLAS,2013,2013-6-5,5,47,2,32.78716944,-96.81269444
TEXAS,DALLAS,DALLAS,2014,2014-12-20,14,45,1,32.71741389,-96.78542778
TEXAS,DALLAS,DALLAS,2012,2012-1-7,15,37,1,32.89458889,-96.717975
TEXAS,DALLAS,DALLAS,2017,2017-5-21,5,0,1,32.908625,-96.89296944
TEXAS,TARRANT,FORT WORTH,2015,2015-2-18,19,15,1,32.70456111,-97.23319167
TEXAS,TARRANT,FORT WORTH,2018,2018-8-26,13,18,1,32.68118056,-97.3937
TEXAS,DALLAS,DALLAS,2017,2017-11-13,2,43,3,32.86619167,-96.88175833
TEXAS,DALLAS,DALLAS,2013,2013-6-23,1,57,1,32.91447778,-96.868475
TEXAS,DALLAS,DALLAS,2015,2015-11-29,15,20,1,32.70483611,-96.83211944
TEXAS,DALLAS,DALLAS,2017,2017-8-18,5,55,1,32.80074722,-96.67458611
TEXAS,DALLAS,DALLAS,2012,2012-5-23,23,30,1,32.76855,-96.78509167
TEXAS,TARRANT,FORT WORTH,2016,2016-1-10,17,24,1,32.72045,-97.22511111
TEXAS,TARRANT,FORT WORTH,2012,2012-2-5,8,44,1,32.76799444,-97.30167222
TEXAS,DALLAS,DALLAS,2018,2018-7-29,1,49,1,32.74947222,-96.8376
TEXAS,TARRANT,FORT WORTH,2018,2018-10-27,15,6,1,32.65243333,-97.3646
TEXAS,DALLAS,DALLAS,2014,2014-2-24,3,17,2,32.9166,-96.74220556
TEXAS,TARRANT,FORT WORTH,2018,2018-11-28,21,42,1,32.73253611,-97.3203
TEXAS,DALLAS,DALLAS,2014,2014-3-18,21,27,1,32.86880556,-96.76087222
TEXAS,DALLAS,DALLAS,2015,2015-3-17,4,30,2,32.79609444,-96.81518056
TEXAS,TARRANT,FORT WORTH,2014,2014-3-15,21,54,1,32.68345278,-97.31082222
TEXAS,DALLAS,DALLAS,2014,2014-10-24,17,35,1,32.72734722,-96.85866667
TEXAS,DALLAS,DALLAS,2014,2014-10-22,23,0,1,32.76366389,-96.68268056
TEXAS,DALLAS,DALLAS,2015,2015-6-5,6,39,1,32.92418889,-96.78468611
TEXAS,DALLAS,DALLAS,2016,2016-6-19,3,25,1,32.81495833,-96.78956667
TEXAS,DALLAS,DALLAS,2015,2015-7-7,2,37,1,32.76898056,-96.803175
TEXAS,DALLAS,DALLAS,2014,2014-4-14,20,16,1,32.75076944,-96.76236667
TEXAS,DALLAS,DALLAS,2013,2013-11-24,19,23,1,32.71296111,-96.87429444
TEXAS,TARRANT,FORT WORTH,2016,2016-11-10,10,41,1,32.74238333,-97.48140556
TEXAS,DALLAS,DALLAS,2016,2016-2-27,21,0,1,32.76825833,-96.67323611
